Sources Target Weight
Topic9 Topic11 0.6509969710762803
Topic11 Topic34 0.6016095740466607
Topic15 Topic25 0.5856712889655813
Topic16 Topic15 0.532490862361824
Topic11 Topic15 0.5281994639261965
Topic5 Topic12 0.49725386615904626
Topic11 Topic42 0.4923425664161385
Topic9 Topic15 0.47553932258911064
Topic20 Topic31 0.4734979099440583
Topic9 Topic42 0.4608472636941914
Topic9 Topic34 0.45723984884367735
Topic5 Topic42 0.45010083820027275
Topic20 Topic1 0.4472123895722402
Topic7 Topic36 0.4460628459670275
Topic42 Topic12 0.4455180159454863
Topic3 Topic12 0.43847994350046987
Topic1 Topic31 0.4363191738544378
Topic12 Topic10 0.42798816331816647
Topic11 Topic36 0.4199295917333598
Topic34 Topic42 0.4122494392528897
Topic9 Topic36 0.39847625759007016
Topic3 Topic10 0.3855191068026341
Topic31 Topic12 0.3844199993658474
Topic23 Topic31 0.38158870542501616
Topic16 Topic11 0.3774004814771402
Topic42 Topic36 0.37536909941968427
Topic33 Topic12 0.3713663987011376
Topic5 Topic3 0.3676775222146653
Topic9 Topic25 0.3605083816868561
Topic15 Topic31 0.35850481616114555
Topic5 Topic10 0.35626061789949615
Topic34 Topic36 0.3523888030301181
Topic8 Topic15 0.34949531808203227
Topic15 Topic28 0.3424822490330774
Topic34 Topic15 0.34246414500796934
Topic15 Topic21 0.3366578747317795
Topic37 Topic31 0.33470642620832575
Topic1 Topic12 0.3317349195852379
Topic1 Topic23 0.33135520091066184
Topic43 Topic46 0.3228657274016901
Topic15 Topic24 0.32211096051745036
Topic16 Topic35 0.32177710037902807
Topic15 Topic3 0.3178727368883519
Topic2 Topic36 0.3144164315346941
Topic43 Topic27 0.3125172492475523
Topic9 Topic40 0.3124300961438778
Topic8 Topic11 0.31046395307655483
Topic25 Topic26 0.30833867085096306
Topic40 Topic11 0.3065767335736542
Topic15 Topic33 0.30586740215603714
Topic15 Topic29 0.30544844909461016
Topic33 Topic3 0.2993860996651555
Topic15 Topic42 0.298104277569424
Topic20 Topic23 0.29572178259786686
Topic6 Topic31 0.2933607479303784
Topic16 Topic28 0.29292490822087414
Topic12 Topic17 0.29239295442892954
Topic42 Topic28 0.2876596724980135
Topic37 Topic26 0.2861817601943298
Topic2 Topic34 0.28558459795033536
Topic20 Topic12 0.2820323498314749
Topic12 Topic27 0.2782096542931032
Topic35 Topic44 0.2772523525395555
Topic16 Topic9 0.27586988169583904
Topic42 Topic43 0.27558427979467315
Topic33 Topic10 0.2749345212102237
Topic11 Topic31 0.2748854978043421
Topic11 Topic24 0.2736630730250253
Topic14 Topic15 0.2673850523204634
Topic25 Topic28 0.26577883991978646
Topic23 Topic12 0.26554544727760976
Topic42 Topic25 0.26432424737005356
Topic41 Topic43 0.26373135736220443
Topic11 Topic28 0.26348804363707173
Topic9 Topic24 0.26266596393034153
Topic10 Topic17 0.255887907828369
Topic3 Topic17 0.25391140361398123
Topic40 Topic14 0.2515209612919273
Topic40 Topic15 0.2511511381135892
Topic9 Topic28 0.2500495504013012
Topic2 Topic9 0.24977653758296842
Topic40 Topic34 0.24610005332966334
Topic5 Topic33 0.24339154443887812
Topic42 Topic10 0.24034868630475803
Topic11 Topic3 0.2389702636392687
Topic11 Topic25 0.23716099859486742
Topic1 Topic6 0.23506920159473663
Topic1 Topic37 0.2346450044090535
Topic11 Topic21 0.2344413400803665
Topic20 Topic6 0.23133861898175218
Topic42 Topic41 0.2310640889768576
Topic10 Topic27 0.2304382487724138
Topic3 Topic27 0.22814849258137768
Topic42 Topic3 0.22329967816268428
Topic11 Topic29 0.2227765355605081
Topic39 Topic25 0.22139758322488523
Topic24 Topic47 0.2202637852836965
Topic37 Topic32 0.21942683645206648
Topic11 Topic33 0.217511662540343
Topic5 Topic17 0.21482623351165725
Topic0 Topic6 0.21448809386352136
Topic41 Topic35 0.21396795540396527
Topic6 Topic25 0.21391814503539228
Topic20 Topic34 0.21319499467868155
Topic4 Topic46 0.21222033065549206
Topic8 Topic9 0.2116606621006422
Topic40 Topic36 0.2106505946011742
Topic25 Topic12 0.20576755686190423
Topic9 Topic7 0.20458114063235358
Topic24 Topic28 0.2037753394709517
Topic9 Topic21 0.20346260166302316
Topic24 Topic3 0.19956287291407424
Topic3 Topic28 0.1971953646037879
Topic9 Topic31 0.19595291078088303
Topic7 Topic3 0.19497135617800843
Topic40 Topic35 0.19424975656390697
Topic16 Topic25 0.19380209386835556
Topic9 Topic3 0.1935634528853627
Topic8 Topic26 0.19071459236898233
Topic7 Topic15 0.1903938143972548
Topic23 Topic6 0.18952310160880045
Topic3 Topic44 0.1885561026953705
Topic30 Topic26 0.18766841035163795
Topic34 Topic23 0.1868476266848287
Topic6 Topic12 0.18649466342710821
Topic28 Topic18 0.1864436771733533
Topic48 Topic42 0.18241908747520322
Topic45 Topic44 0.18190993630313188
Topic48 Topic33 0.18143853588208497
Topic40 Topic42 0.17975936744465265
Topic21 Topic27 0.1795257734381424
Topic42 Topic32 0.17845391391953033
Topic14 Topic11 0.17826356156044706
Topic16 Topic34 0.17513374159034434
Topic2 Topic18 0.17484412635977853
Topic49 Topic30 0.17259906849583348
Topic20 Topic37 0.17185628123503233
Topic8 Topic16 0.17133209305733263
Topic9 Topic33 0.17115519736392887
Topic9 Topic14 0.17114790243518316
