Target Source Weight
朋友 同事 0.998804238876
待机时间 按键 0.997485121772
待机时间 现象 0.996700710012
待机时间 玩游戏 0.99659618631
死机 游戏 0.99657616269
玩游戏 游戏 0.996527370094
手感 外观 0.996426707883
玩游戏 按键 0.996207866466
按键 情况 0.996013161104
待机时间 游戏 0.995968346906
京东s 态度 0.995832773559
待机时间 死机 0.995827447022
内存 现象 0.995725108859
待机时间 时 0.995558023595
待机时间 内存 0.995495864473
时 现象 0.995350611585
现象 按键 0.994786881458
死机 按键 0.994775138169
时 玩游戏 0.99470424554
游戏 现象 0.994523243598
玩游戏 现象 0.994460298722
待机时间 情况 0.994385384897
时 情况 0.994214240283
内存 死机 0.99409750995
游戏 按键 0.994030501087
时 游戏 0.993974070041
玩游戏 情况 0.99395689083
内存 按键 0.993825485884
毛病 缺点 0.993636419996
信号 4G 0.99350978714
死机 现象 0.993353768953
死机 玩游戏 0.993044394012
程序 现象 0.99281472283
内存 游戏 0.992480284907
程序 时 0.992428014256
物流 发货 0.992339122194
内存 玩游戏 0.992194975794
现象 情况 0.992034413643
内存 时 0.991931444688
游戏 情况 0.991381768624
贴膜 膜 0.991311304545
死机 情况 0.991067530156
内存 情况 0.990947833205
程序 按键 0.990887085284
充电器 内存 0.990622638639
键 通话 0.990163807036
充电器 现象 0.989976803141
老公r 朋友 0.989805781468
程序 内存 0.989422984706
键 音质 0.989088111673
充电器 程序 0.988876387044
程序 游戏 0.988503136631
程序 死机 0.988493250323
程序 待机时间 0.988238070397
边框 塑料 0.98810235786
程序 情况 0.988102041022
电 小时 0.987557500876
程序 玩游戏 0.987390549273
习惯 地方 0.98737453705
待机 内存 0.987082607394
通话 音质 0.986995325627
价位 外观 0.986862896016
老公r 同事 0.986859604028
充电器 按键 0.9862214129
价格 价钱 0.98618706419
充电器 死机 0.986041606961
充电器 待机时间 0.985752235175
时 视频 0.985374605838
充电器 时 0.985271736454
手感 很漂亮 0.985144902878
充电器 游戏 0.984867423947
充电器 地方 0.984784697259
老公r 帮别人 0.984691504502
续航r 电池 0.984364224297
待机时间 视频 0.984350658978
按键 视频 0.98425399739
充电器 情况 0.984185525384
时间 视频 0.983952086282
习惯 时 0.983947624601
情况 视频 0.983888690266
待机 充电器 0.983866699713
现象 时间 0.983395164731
价位 手感 0.983250226911
内存 时间 0.983070987688
充电器 玩游戏 0.982665864677
习惯 按键 0.982603122996
程序 视频 0.98258424881
内存 地方 0.982333350388
待机 程序 0.982109329759
习惯 程序 0.982081878803
现象 视频 0.982056650787
习惯 内存 0.982031166483
待机 现象 0.981853775441
习惯 待机时间 0.981651758139
待机时间 时间 0.981550873606
习惯 现象 0.981463260144
习惯 死机 0.981162853171
习惯 玩游戏 0.981141097189
死机 时间 0.981124930988
习惯 充电器 0.980342077796
时间 情况 0.980236776906
配件 耳机 0.980142895462
品质 东西s 0.980090113344
内存 视频 0.980074732245
死机 视频 0.979867925738
充电器 原因 0.979841819663
时 时间 0.979820385539
地方 现象 0.979784592458
