Source Target Weight
Topic11 Topic34 0.01369320538494311
Topic11 Topic31 0.15157675272257098
Topic34 Topic10 0.00767482667167318
Topic32 Topic10 0.11086316349748292
Topic1 Topic31 0.018948304681869043
Topic36 Topic13 0.16402363437004822
Topic18 Topic4 0.12726840576836854
Topic32 Topic30 0.004457614326907756
Topic30 Topic4 0.023080123250279354
Topic1 Topic10 0.03223381650518188
Topic32 Topic31 0.06832205049601905
Topic16 Topic34 0.007740535326742217
Topic11 Topic16 0.18860447274398484
Topic34 Topic31 0.04782399177571691
Topic30 Topic34 0.043010594818394206
Topic30 Topic10 0.03998845487424259
Topic16 Topic4 0.14384171799757153
Topic31 Topic10 0.12407750829306609
Topic13 Topic1 0.14665758557845918
Topic16 Topic13 0.01899549118588554
Topic1 Topic18 0.17343545812428246
Topic14 Topic16 0.012423306325758382
Topic11 Topic6 0.32233706664291656
Topic31 Topic4 0.05308238336171848
Topic11 Topic30 0.2984001649419895
Topic14 Topic13 0.2154894135984534
Topic36 Topic10 0.025384586627787354
Topic36 Topic34 0.004352056415956787
Topic13 Topic18 0.07896528690158115
Topic36 Topic14 0
Topic36 Topic4 0.07262614707755295
Topic30 Topic13 0.25869271185769294
Topic13 Topic31 0.01785157576211716
Topic36 Topic16 0.014912529645747534
Topic11 Topic18 0.03000073480784778
Topic16 Topic10 0.18940543004009094
Topic14 Topic1 0.3258395304819944
Topic32 Topic6 0.0025700812217578344
Topic16 Topic31 0.3661980304613531
Topic14 Topic32 0
Topic14 Topic4 0.26259800069618094
Topic32 Topic4 0.0018930628324686266
Topic34 Topic4 0.0042907641355589814
Topic31 Topic6 0.10614587716722326
Topic14 Topic6 0
Topic34 Topic18 0.013918973595798892
Topic32 Topic34 0.17641875306823754
Topic14 Topic34 0.01003572465506141
Topic32 Topic18 0.05300631903346565
Topic1 Topic4 0.0901346549084149
Topic30 Topic16 0.14839294971487818
Topic30 Topic6 0.2939258794243692
Topic34 Topic6 0.03795892788554564
Topic14 Topic31 0
Topic36 Topic32 0.0011891649159306492
Topic30 Topic1 0.009144752679013095
Topic18 Topic6 0.012507999243342024
Topic13 Topic34 0.010107023358040583
Topic16 Topic6 0.012838067039966107
Topic1 Topic6 0.04680266858211725
Topic30 Topic31 0.17100413848173773
Topic6 Topic4 0.13812361214663418
Topic13 Topic4 0.0335028013149975
Topic18 Topic10 0.010609666392626886
Topic36 Topic18 0.018453962463510425
Topic6 Topic10 0.039974087712120354
Topic36 Topic31 0.2607838189785925
Topic30 Topic18 0.009246613036757709
Topic11 Topic13 0.2119613749157936
Topic32 Topic16 0.0023417839311868326
Topic36 Topic1 0.02761055316973224
Topic4 Topic10 0.08218840242755043
Topic16 Topic1 0.004914413786137866
Topic14 Topic18 0.32292648544510494
Topic13 Topic10 0.012110497316739407
Topic32 Topic1 0.037577130945942186
Topic34 Topic1 0.0922537853867258
Topic11 Topic32 0.0012081141170201697
Topic13 Topic6 0.05812610248609573
Topic18 Topic31 0.19226264742247623
Topic36 Topic30 0.3522108950691173
Topic11 Topic10 0.15004495092422337
Topic32 Topic13 0.11217885287096292
Topic11 Topic36 0.29508624053026195
Topic14 Topic30 0.0071117187256089275
Topic11 Topic14 0.002249779129358949
Topic11 Topic4 0.09513814230590296
Topic36 Topic6 0.21148796191626315
Topic11 Topic1 0.03459515853373972
Topic16 Topic18 0.026455382782797743
Topic14 Topic10 0.09410715637083764
